Model,Accuracy,Precision,Recall,F1_Macro,F1_Weighted,MCC,ROC_AUC,TP_Macro,TN_Macro,FP_Macro,FN_Macro
Tuned_Ensemble_Voting,0.9632 ± 0.0071,0.9647 ± 0.0067,0.9597 ± 0.0077,0.9616 ± 0.0074,0.9633 ± 0.0071,0.9586 ± 0.0080,0.9974 ± 0.0009,93.7333 ± 0.6978,774.9111 ± 0.8207,3.5778 ± 0.6900,3.5778 ± 0.6900
Tuned_Ensemble_Voting,0.9632 ± 0.0071,0.9647 ± 0.0067,0.9597 ± 0.0077,0.9616 ± 0.0074,0.9633 ± 0.0071,0.9586 ± 0.0080,0.9974 ± 0.0009,93.7333 ± 0.6978,774.9111 ± 0.8207,3.5778 ± 0.6900,3.5778 ± 0.6900
LightGBM,0.9555 ± 0.0049,0.9571 ± 0.0048,0.9514 ± 0.0052,0.9536 ± 0.0051,0.9555 ± 0.0049,0.9498 ± 0.0055,0.9973 ± 0.0003,92.9778 ± 0.4939,774.1556 ± 0.6871,4.3333 ± 0.4766,4.3333 ± 0.4766
XGBoost,0.9543 ± 0.0056,0.9559 ± 0.0062,0.9509 ± 0.0066,0.9529 ± 0.0064,0.9543 ± 0.0058,0.9485 ± 0.0064,0.9972 ± 0.0006,92.8667 ± 0.5639,774.0444 ± 0.7390,4.4444 ± 0.5488,4.4444 ± 0.5488
Random Forest,0.9546 ± 0.0066,0.9563 ± 0.0064,0.9490 ± 0.0067,0.9519 ± 0.0066,0.9546 ± 0.0066,0.9488 ± 0.0075,0.9957 ± 0.0015,92.8889 ± 0.6740,774.0667 ± 0.9286,4.4222 ± 0.6418,4.4222 ± 0.6418
Extra Trees,0.9523 ± 0.0094,0.9560 ± 0.0088,0.9474 ± 0.0102,0.9505 ± 0.0098,0.9526 ± 0.0092,0.9463 ± 0.0105,0.9955 ± 0.0015,92.6667 ± 0.9428,773.8444 ± 1.1834,4.6444 ± 0.9119,4.6444 ± 0.9119
CatBoost,0.9502 ± 0.0063,0.9513 ± 0.0064,0.9465 ± 0.0069,0.9483 ± 0.0066,0.9502 ± 0.0062,0.9439 ± 0.0071,0.9966 ± 0.0007,92.4667 ± 0.6379,773.6444 ± 0.8675,4.8444 ± 0.6110,4.8444 ± 0.6110
SVM,0.9488 ± 0.0086,0.9513 ± 0.0078,0.9451 ± 0.0088,0.9467 ± 0.0088,0.9493 ± 0.0083,0.9426 ± 0.0095,0.9965 ± 0.0006,92.3333 ± 0.8721,773.5111 ± 1.1431,4.9778 ± 0.8356,4.9778 ± 0.8356
Logistic Regression,0.9356 ± 0.0090,0.9357 ± 0.0078,0.9317 ± 0.0088,0.9331 ± 0.0083,0.9357 ± 0.0090,0.9274 ± 0.0102,0.9930 ± 0.0016,91.0444 ± 0.9070,772.2222 ± 1.1461,6.2667 ± 0.8766,6.2667 ± 0.8766
MLP,0.9313 ± 0.0049,0.9328 ± 0.0031,0.9257 ± 0.0046,0.9285 ± 0.0040,0.9315 ± 0.0046,0.9225 ± 0.0055,0.9927 ± 0.0014,90.6222 ± 0.4587,771.8000 ± 0.4735,6.6889 ± 0.4735,6.6889 ± 0.4735
